quote_date,paper,exch,open,high,low,close,volume,value
20150325,HEXA-B,Stockholm,295.50,299.30,292.90,294.30,426417,125784574
20150324,HEXA-B,Stockholm,293.90,297.60,292.80,297.00,364022,107797479
20150323,HEXA-B,Stockholm,298.50,298.50,291.60,294.40,442156,130130744
20150320,HEXA-B,Stockholm,300.00,301.30,297.70,299.80,420108,125678395
20150319,HEXA-B,Stockholm,297.00,301.20,295.00,301.20,731670,218953780
20150318,HEXA-B,Stockholm,292.40,297.10,285.30,295.40,781602,228837554
20150317,HEXA-B,Stockholm,296.90,298.40,291.80,293.70,325794,95767617
20150316,HEXA-B,Stockholm,295.20,298.30,293.00,296.40,471674,139349204
20150313,HEXA-B,Stockholm,294.00,296.50,294.00,296.20,564641,166762276
20150312,HEXA-B,Stockholm,292.00,297.70,289.50,293.40,723337,211577322
20150311,HEXA-B,Stockholm,281.00,288.50,280.50,288.20,522443,149647222
20150310,HEXA-B,Stockholm,282.20,284.80,280.10,280.40,662573,187091390
20150309,HEXA-B,Stockholm,280.10,284.30,275.80,282.10,651887,183252361
20150306,HEXA-B,Stockholm,281.50,285.60,279.00,280.40,553014,155913064
20150305,HEXA-B,Stockholm,282.00,284.50,279.90,281.50,1078051,304054028
20150304,HEXA-B,Stockholm,291.00,293.00,276.30,283.00,2495705,707294514
20150303,HEXA-B,Stockholm,300.70,302.30,295.00,295.30,416708,124812315
20150302,HEXA-B,Stockholm,300.10,303.20,297.50,299.90,448076,134513382
20150227,HEXA-B,Stockholm,305.90,306.00,300.10,301.10,368082,110932117
20150226,HEXA-B,Stockholm,301.50,305.50,301.10,305.30,402078,122208486
20150225,HEXA-B,Stockholm,302.10,303.10,299.60,301.50,322563,97001827
20150224,HEXA-B,Stockholm,303.80,304.20,299.20,302.10,312346,94016613
20150223,HEXA-B,Stockholm,302.50,304.80,300.00,303.30,357449,107944868
20150220,HEXA-B,Stockholm,303.00,303.00,298.30,301.90,462814,139023617
20150219,HEXA-B,Stockholm,298.30,305.90,298.00,303.40,817773,247800632
20150218,HEXA-B,Stockholm,291.70,299.70,291.10,298.30,713985,211633494
20150217,HEXA-B,Stockholm,295.00,296.20,289.30,290.30,563673,164138012
20150216,HEXA-B,Stockholm,291.60,298.00,282.50,296.30,1158774,337952446
20150213,HEXA-B,Stockholm,295.70,298.00,293.10,295.90,566086,167083469
20150212,HEXA-B,Stockholm,291.50,297.00,288.20,295.70,939203,276476166
20150211,HEXA-B,Stockholm,290.30,294.00,285.50,286.50,829878,239310538
20150210,HEXA-B,Stockholm,293.00,293.90,287.10,290.30,905336,262581887
20150209,HEXA-B,Stockholm,290.50,298.10,283.80,292.30,1208263,353191506
20150206,HEXA-B,Stockholm,283.00,296.40,282.80,290.40,1543550,449029967
20150205,HEXA-B,Stockholm,261.50,271.00,261.30,271.00,598726,160218047
20150204,HEXA-B,Stockholm,264.30,265.90,262.40,264.50,491228,129611758
20150203,HEXA-B,Stockholm,265.50,266.00,263.70,264.40,392700,103909662
20150202,HEXA-B,Stockholm,262.50,266.60,260.70,265.00,425359,112376618
20150130,HEXA-B,Stockholm,263.20,264.50,260.50,262.50,654671,171860093
20150129,HEXA-B,Stockholm,259.20,262.50,258.40,261.20,305954,79765651
20150128,HEXA-B,Stockholm,260.40,262.50,257.00,261.80,485494,126484551
20150127,HEXA-B,Stockholm,267.80,269.50,257.90,259.50,476089,125149292
20150126,HEXA-B,Stockholm,261.10,268.70,260.30,268.30,705571,186397739
20150123,HEXA-B,Stockholm,259.60,263.10,259.60,261.80,455286,119221920
20150122,HEXA-B,Stockholm,253.00,259.50,251.30,258.70,560681,143701554
20150121,HEXA-B,Stockholm,250.10,252.90,249.10,252.40,586098,147525654
20150120,HEXA-B,Stockholm,246.90,252.40,246.80,249.60,537759,134736083
20150119,HEXA-B,Stockholm,246.80,247.90,242.30,247.00,659601,161537380
20150116,HEXA-B,Stockholm,245.50,248.20,241.10,247.30,480246,117928959
20150115,HEXA-B,Stockholm,248.80,251.30,231.30,247.00,1780295,427963904
20150114,HEXA-B,Stockholm,250.00,252.10,247.80,247.80,561426,139951909
20150113,HEXA-B,Stockholm,253.10,254.60,251.20,252.40,535647,135448528
20150112,HEXA-B,Stockholm,249.00,257.40,249.00,252.80,610918,154766631
20150109,HEXA-B,Stockholm,243.20,252.50,242.60,248.20,545725,135805348
20150108,HEXA-B,Stockholm,243.10,246.80,240.30,244.90,450810,109846845
20150107,HEXA-B,Stockholm,243.10,248.50,240.10,240.10,1059503,257635048
20150105,HEXA-B,Stockholm,241.80,246.20,240.60,243.90,261693,63777625
20150102,HEXA-B,Stockholm,242.00,244.40,241.10,242.00,209476,50806818
20141230,HEXA-B,Stockholm,242.50,242.90,239.90,242.00,331034,79894267
20141229,HEXA-B,Stockholm,245.70,246.90,242.00,243.00,195473,47664035
20141223,HEXA-B,Stockholm,242.10,246.40,242.10,244.60,395304,96843097
20141222,HEXA-B,Stockholm,239.60,243.50,238.90,242.30,425732,103055584
20141219,HEXA-B,Stockholm,240.60,240.80,237.00,239.60,731101,174675913
20141218,HEXA-B,Stockholm,229.10,240.10,227.50,239.60,808721,190602278
20141217,HEXA-B,Stockholm,230.60,231.20,228.30,230.30,514394,118280495
20141216,HEXA-B,Stockholm,230.40,231.70,225.90,231.10,566235,129882512
20141215,HEXA-B,Stockholm,232.70,235.10,230.60,230.60,417827,97353830
20141212,HEXA-B,Stockholm,234.50,236.10,232.40,232.60,412450,96582888
20141211,HEXA-B,Stockholm,235.00,238.70,233.50,234.60,535458,126545908
