quote_date,paper,exch,open,high,low,close,volume,value
20150331,KLED,Stockholm,66.00,67.50,66.00,66.75,262613,17514502
20150330,KLED,Stockholm,64.75,66.25,64.75,66.25,326505,21406212
20150327,KLED,Stockholm,65.25,66.25,64.50,64.75,215130,13971756
20150326,KLED,Stockholm,66.50,66.50,64.50,65.25,355299,23159865
20150325,KLED,Stockholm,66.50,68.25,66.00,66.50,562807,37740347
20150324,KLED,Stockholm,65.50,66.50,64.50,66.50,215681,14224036
20150323,KLED,Stockholm,65.75,66.00,65.25,65.50,122898,8064028
20150320,KLED,Stockholm,66.00,66.50,65.75,65.75,213913,14099029
20150319,KLED,Stockholm,64.25,66.25,63.75,66.00,620513,40889819
20150318,KLED,Stockholm,63.25,65.75,63.25,64.50,766163,49217845
20150317,KLED,Stockholm,63.75,64.25,62.50,63.25,354281,22474061
20150316,KLED,Stockholm,62.75,64.00,62.25,63.75,394426,25049243
20150313,KLED,Stockholm,61.75,62.75,61.50,62.75,372743,23216387
20150312,KLED,Stockholm,60.00,61.75,60.00,61.75,427265,26204587
20150311,KLED,Stockholm,59.00,61.50,58.88,59.75,738135,44499974
20150310,KLED,Stockholm,62.00,62.50,59.00,59.25,545544,32788164
20150309,KLED,Stockholm,62.75,62.75,60.25,61.75,769850,47225300
20150306,KLED,Stockholm,65.50,66.25,62.75,62.75,523945,33503841
20150305,KLED,Stockholm,67.00,68.00,66.00,66.25,262712,17486511
20150304,KLED,Stockholm,68.25,68.25,66.50,67.00,484869,32513337
20150303,KLED,Stockholm,69.00,69.50,68.25,68.25,460403,31615198
20150302,KLED,Stockholm,68.25,69.25,68.25,69.00,398569,27481250
20150227,KLED,Stockholm,68.75,69.00,68.25,68.50,224069,15340624
20150226,KLED,Stockholm,67.50,68.75,67.25,68.75,327873,22388047
20150225,KLED,Stockholm,67.25,68.00,67.00,67.50,420337,28396714
20150224,KLED,Stockholm,68.50,68.50,66.50,67.25,498283,33517717
20150223,KLED,Stockholm,67.75,68.25,67.00,68.00,485472,32873520
20150220,KLED,Stockholm,68.00,68.75,67.50,68.00,505964,34393326
20150219,KLED,Stockholm,69.00,69.00,67.25,68.00,380128,25888164
20150218,KLED,Stockholm,67.00,69.00,66.50,69.00,529320,36082980
20150217,KLED,Stockholm,69.00,69.25,64.25,66.50,946943,62327949
20150216,KLED,Stockholm,67.50,68.75,66.50,68.00,436555,29623621
20150213,KLED,Stockholm,67.25,68.25,67.25,67.25,296284,20054228
20150212,KLED,Stockholm,65.00,67.50,64.75,67.25,475583,31653017
20150211,KLED,Stockholm,65.75,65.75,64.50,65.00,212913,13827001
20150210,KLED,Stockholm,63.75,66.25,63.50,65.50,350206,22685306
20150209,KLED,Stockholm,66.00,66.00,64.00,64.00,352884,22734144
20150206,KLED,Stockholm,66.00,67.25,64.75,66.25,475613,31354027
20150205,KLED,Stockholm,64.50,66.00,64.25,66.00,441634,28742342
20150204,KLED,Stockholm,65.75,65.75,64.50,64.75,317945,20581409
20150203,KLED,Stockholm,65.50,66.00,65.25,65.75,354240,23249960
20150202,KLED,Stockholm,63.75,65.50,63.50,65.50,621356,40174234
20150130,KLED,Stockholm,63.25,64.50,62.50,63.50,736315,46914839
20150129,KLED,Stockholm,61.50,63.00,61.50,63.00,510875,31795761
20150128,KLED,Stockholm,60.25,61.75,59.75,61.50,703004,42815584
20150127,KLED,Stockholm,60.00,60.50,59.50,60.25,470171,28263604
20150126,KLED,Stockholm,59.00,60.50,58.75,60.50,507692,30363037
20150123,KLED,Stockholm,59.75,60.00,58.75,59.25,819534,48708158
20150122,KLED,Stockholm,59.75,60.00,59.00,59.75,489813,29191008
20150121,KLED,Stockholm,60.50,61.00,58.75,59.50,668410,40011833
20150120,KLED,Stockholm,59.50,60.50,58.75,60.25,677042,40224424
20150119,KLED,Stockholm,59.50,59.50,58.00,59.25,315943,18580459
20150116,KLED,Stockholm,58.75,59.50,57.75,59.50,381367,22371665
20150115,KLED,Stockholm,58.00,58.75,57.25,58.50,451825,26293913
20150114,KLED,Stockholm,59.00,59.25,57.75,57.75,636692,37083799
20150113,KLED,Stockholm,59.25,59.25,58.25,59.25,469142,27606712
20150112,KLED,Stockholm,58.00,59.75,58.00,59.25,261637,15456383
20150109,KLED,Stockholm,58.25,58.75,58.00,58.25,494538,28801653
20150108,KLED,Stockholm,57.75,59.00,57.50,58.50,670158,38918410
20150107,KLED,Stockholm,56.75,57.75,55.75,57.50,548396,31352164
20150105,KLED,Stockholm,57.50,57.75,57.00,57.50,208565,11961325
20150102,KLED,Stockholm,56.25,57.75,56.00,57.50,426835,24392474
20141230,KLED,Stockholm,56.00,56.75,54.75,56.50,318194,17734246
20141229,KLED,Stockholm,56.00,56.75,55.75,56.00,170536,9608591
20141223,KLED,Stockholm,55.50,56.00,54.75,56.00,792756,43797290
20141222,KLED,Stockholm,54.00,56.25,54.00,55.50,494131,27421837
20141219,KLED,Stockholm,53.75,54.25,53.75,54.00,542041,29236804
20141218,KLED,Stockholm,52.25,53.75,52.25,53.25,437361,23222913
20141217,KLED,Stockholm,51.75,52.00,51.25,52.00,363686,18789853
20141216,KLED,Stockholm,53.00,53.25,51.00,51.75,598052,31164107
20141215,KLED,Stockholm,53.00,53.25,52.50,53.00,312965,16599731
20141212,KLED,Stockholm,53.25,53.75,52.75,53.00,343018,18213114
20141211,KLED,Stockholm,53.00,53.50,52.75,53.25,404015,21475514
20141210,KLED,Stockholm,53.25,53.75,53.00,53.00,234225,12470932
20141209,KLED,Stockholm,53.25,53.50,52.75,53.25,262071,13945139
20141208,KLED,Stockholm,53.25,53.75,52.75,53.50,317014,16860928
20141205,KLED,Stockholm,52.50,53.50,52.50,53.25,434743,23011397
20141204,KLED,Stockholm,52.50,54.00,51.75,52.00,785247,41500309
20141203,KLED,Stockholm,50.75,52.75,50.50,52.00,711477,37038559
20141202,KLED,Stockholm,50.00,51.25,50.00,50.50,557491,28236519
20141201,KLED,Stockholm,49.10,50.25,49.10,50.00,302271,15048768
20141128,KLED,Stockholm,49.00,49.90,49.00,49.60,223462,11038156
20141127,KLED,Stockholm,49.50,49.70,49.20,49.20,225981,11150394
20141126,KLED,Stockholm,49.60,50.00,49.20,49.30,343151,16984884
20141125,KLED,Stockholm,49.40,49.80,49.00,49.60,369934,18319033
20141124,KLED,Stockholm,48.90,49.50,48.70,49.20,447468,21978738
20141121,KLED,Stockholm,48.10,49.10,48.10,48.90,439374,21461314
20141120,KLED,Stockholm,48.20,48.30,47.40,48.10,633141,30341488
20141119,KLED,Stockholm,47.80,48.20,47.50,48.10,501605,24027546
20141118,KLED,Stockholm,46.50,47.80,46.50,47.70,540136,25492282
20141117,KLED,Stockholm,46.60,46.70,45.90,46.40,369048,17099890
20141114,KLED,Stockholm,46.40,46.90,46.00,46.70,519951,24189040
