quote_date,paper,exch,open,high,low,close,volume,value
20150331,MROX-B,Stockholm,16.00,16.50,16.00,16.00,63993,1024084
20150330,MROX-B,Stockholm,16.10,16.90,15.90,16.00,6920,111006
20150327,MROX-B,Stockholm,15.80,16.10,15.10,15.90,49879,792899
20150326,MROX-B,Stockholm,14.90,16.00,13.85,16.00,73705,1091564
20150325,MROX-B,Stockholm,14.50,14.90,14.50,14.90,8145,119420
20150324,MROX-B,Stockholm,14.15,14.50,13.95,14.50,11150,157735
20150323,MROX-B,Stockholm,14.00,14.20,14.00,14.20,2905,41195
20150320,MROX-B,Stockholm,14.00,14.00,13.80,14.00,1433,19862
20150319,MROX-B,Stockholm,13.75,14.00,13.55,14.00,7900,109095
20150318,MROX-B,Stockholm,13.50,13.75,13.50,13.75,450,6125
20150317,MROX-B,Stockholm,13.50,13.50,13.30,13.30,12992,173458
20150316,MROX-B,Stockholm,14.00,14.00,13.40,13.50,1040,14075
20150313,MROX-B,Stockholm,14.00,14.00,13.50,13.70,10345,140551
20150312,MROX-B,Stockholm,14.00,14.00,14.00,14.00,3230,45220
20150311,MROX-B,Stockholm,14.05,14.05,13.65,14.00,10450,146396
20150310,MROX-B,Stockholm,12.50,14.20,12.50,14.15,50925,706387
20150309,MROX-B,Stockholm,12.95,12.95,12.35,12.95,2217,28699
20150306,MROX-B,Stockholm,13.20,13.25,13.20,13.20,275,3639
20150305,MROX-B,Stockholm,12.80,13.95,12.80,13.25,4650,60731
20150304,MROX-B,Stockholm,12.55,12.60,12.20,12.60,8723,108830
20150303,MROX-B,Stockholm,13.15,13.15,12.20,12.55,39086,489777
20150302,MROX-B,Stockholm,13.50,13.80,13.15,13.40,29465,393879
20150227,MROX-B,Stockholm,13.00,13.25,12.55,12.90,18343,236406
20150226,MROX-B,Stockholm,12.05,12.60,11.80,12.60,37893,469204
20150225,MROX-B,Stockholm,12.00,12.25,11.80,12.05,27250,327369
20150224,MROX-B,Stockholm,12.10,12.50,11.75,11.85,55279,670029
20150223,MROX-B,Stockholm,12.20,12.20,11.15,11.65,32851,378449
20150220,MROX-B,Stockholm,11.90,12.00,11.40,12.00,15295,180951
20150219,MROX-B,Stockholm,11.60,11.90,11.00,11.90,251550,2790072
20150218,MROX-B,Stockholm,11.00,11.00,10.70,10.70,37015,396760
20150217,MROX-B,Stockholm,11.40,11.40,11.25,11.25,2560,28805
20150216,MROX-B,Stockholm,11.05,11.50,11.05,11.50,5163,58212
20150213,MROX-B,Stockholm,11.00,11.00,10.90,11.00,25105,276055
20150212,MROX-B,Stockholm,11.00,11.00,11.00,11.00,13350,146850
20150211,MROX-B,Stockholm,10.95,11.00,10.95,11.00,39150,430550
20150210,MROX-B,Stockholm,10.95,11.00,10.90,10.90,18200,200062
20150209,MROX-B,Stockholm,11.00,11.00,10.05,10.05,6400,67781
20150206,MROX-B,Stockholm,11.00,11.00,10.80,11.00,9365,102955
20150205,MROX-B,Stockholm,10.50,11.00,10.30,11.00,19647,209106
20150204,MROX-B,Stockholm,11.00,11.00,10.70,10.70,9157,100348
20150203,MROX-B,Stockholm,11.30,11.30,11.00,11.00,3342,37629
20150202,MROX-B,Stockholm,11.00,11.00,10.90,10.90,13688,150561
20150130,MROX-B,Stockholm,11.30,11.30,10.70,11.00,18853,208660
20150129,MROX-B,Stockholm,11.30,11.30,11.30,11.30,7703,87043
20150128,MROX-B,Stockholm,11.30,11.30,11.30,11.30,5993,67720
20150127,MROX-B,Stockholm,11.40,11.40,11.10,11.25,17761,200358
20150126,MROX-B,Stockholm,12.00,12.00,11.40,11.40,47685,553301
20150123,MROX-B,Stockholm,12.15,12.15,12.00,12.00,28261,339361
20150122,MROX-B,Stockholm,12.10,12.10,12.00,12.00,7207,87162
20150121,MROX-B,Stockholm,12.10,12.10,11.95,12.10,4347,52568
20150120,MROX-B,Stockholm,12.50,12.50,12.10,12.10,34726,421573
20150119,MROX-B,Stockholm,12.30,12.50,12.30,12.50,9440,116683
20150116,MROX-B,Stockholm,12.10,12.20,11.85,12.20,2603,31289
20150115,MROX-B,Stockholm,12.50,12.50,12.30,12.50,6531,81523
20150114,MROX-B,Stockholm,12.20,12.95,12.20,12.95,2571,31366
20150113,MROX-B,Stockholm,12.20,12.20,12.20,12.20,4200,51240
20150112,MROX-B,Stockholm,12.50,12.50,12.10,12.10,1718,21395
20150109,MROX-B,Stockholm,12.50,12.50,12.15,12.50,2772,34216
20150108,MROX-B,Stockholm,12.60,12.60,12.25,12.25,4508,56461
20150107,MROX-B,Stockholm,12.70,12.80,12.40,12.80,9636,121646
20150105,MROX-B,Stockholm,12.60,12.80,12.60,12.80,1972,24897
20150102,MROX-B,Stockholm,12.70,12.70,12.65,12.65,695,8824
20141230,MROX-B,Stockholm,12.15,12.70,12.10,12.70,14850,180463
20141229,MROX-B,Stockholm,11.80,12.70,11.80,12.50,16600,209510
20141223,MROX-B,Stockholm,12.60,12.60,12.60,12.60,2950,37170
20141222,MROX-B,Stockholm,12.30,12.35,12.30,12.35,2880,35466
20141219,MROX-B,Stockholm,12.15,12.15,12.15,12.15,10306,125217
20141218,MROX-B,Stockholm,11.60,11.60,11.60,11.60,8000,92800
20141217,MROX-B,Stockholm,11.60,12.50,11.45,11.45,6140,72735
20141216,MROX-B,Stockholm,12.00,12.00,11.60,11.60,4050,48120
